Time,TPS,StockLevel,StockLevelLatency,TPMC,Delivery,DeliveryLatency,OrderStatus,OrderStatusLatency,Payment,PaymentLatency,NewOrder,NewOrderLatency,Failed
1,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
2,1.00,0,0.00,0.00,1,1489.94,0,0.00,0,0.00,0,0.00,0
3,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
4,4.00,0,0.00,30.00,2,3210.10,0,0.00,0,0.00,2,1511.23,0
5,4.00,0,0.00,24.00,2,461.71,0,0.00,0,0.00,2,1281.87,0
6,3.00,0,0.00,30.00,0,0.00,0,0.00,0,0.00,3,431.19,0
7,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
8,4.00,0,0.00,0.00,4,2173.53,0,0.00,0,0.00,0,0.00,0
9,7.00,0,0.00,13.33,5,414.59,0,0.00,0,0.00,2,277.27,0
10,7.00,0,0.00,30.00,2,391.39,0,0.00,0,0.00,5,267.94,0
11,7.00,0,0.00,27.27,2,412.99,0,0.00,0,0.00,5,403.33,0
12,3.00,0,0.00,10.00,1,320.11,0,0.00,0,0.00,2,266.05,0
13,6.00,0,0.00,18.46,2,324.96,0,0.00,0,0.00,4,183.46,0
14,5.00,0,0.00,17.14,1,331.70,0,0.00,0,0.00,4,232.26,0
15,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
16,2.00,0,0.00,0.00,2,1851.28,0,0.00,0,0.00,0,0.00,0
17,4.00,0,0.00,3.53,3,308.96,0,0.00,0,0.00,1,194.08,0
18,4.00,0,0.00,6.67,2,269.54,0,0.00,0,0.00,2,205.90,0
19,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
20,2.00,0,0.00,0.00,2,1997.83,0,0.00,0,0.00,0,0.00,0
21,5.00,0,0.00,5.71,3,297.44,0,0.00,0,0.00,2,163.88,0
22,4.00,0,0.00,5.45,2,279.05,0,0.00,0,0.00,2,253.28,0
23,6.00,0,0.00,10.43,2,408.51,0,0.00,0,0.00,4,163.38,0
24,4.00,0,0.00,0.00,4,269.24,0,0.00,0,0.00,0,0.00,0
25,4.00,0,0.00,0.00,4,314.11,0,0.00,0,0.00,0,0.00,0
26,4.00,0,0.00,4.62,2,266.94,0,0.00,0,0.00,2,225.17,0
27,4.00,0,0.00,2.22,3,551.97,0,0.00,0,0.00,1,137.38,0
28,5.00,0,0.00,6.43,2,331.46,0,0.00,0,0.00,3,235.58,0
29,4.00,0,0.00,2.07,3,272.79,0,0.00,0,0.00,1,197.86,0
30,5.00,0,0.00,6.00,2,275.19,0,0.00,0,0.00,3,189.64,0
31,3.00,0,0.00,1.94,2,292.93,0,0.00,0,0.00,1,202.04,0
32,2.00,0,0.00,0.00,2,944.95,0,0.00,0,0.00,0,0.00,0
33,5.00,0,0.00,3.64,3,237.34,0,0.00,0,0.00,2,186.44,0
34,6.00,0,0.00,5.29,3,347.01,0,0.00,0,0.00,3,175.37,0
35,6.00,0,0.00,5.14,3,247.77,0,0.00,0,0.00,3,124.49,0
36,6.00,0,0.00,5.00,3,260.65,0,0.00,0,0.00,3,179.72,0
37,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
38,5.00,0,0.00,1.58,4,1221.26,0,0.00,0,0.00,1,66.79,0
39,6.00,0,0.00,4.62,3,230.66,0,0.00,0,0.00,3,222.02,0
40,6.00,0,0.00,3.00,4,300.72,0,0.00,0,0.00,2,93.29,0
41,6.00,0,0.00,5.85,2,225.46,0,0.00,0,0.00,4,246.15,0
42,5.00,0,0.00,4.29,2,296.03,0,0.00,0,0.00,3,271.46,0
43,5.00,0,0.00,4.19,2,224.99,0,0.00,0,0.00,3,227.59,0
44,7.00,0,0.00,6.82,2,214.15,0,0.00,0,0.00,5,214.82,0
45,3.00,0,0.00,4.00,0,0.00,0,0.00,0,0.00,3,277.69,0
46,2.00,0,0.00,1.30,1,1262.01,0,0.00,0,0.00,1,119.98,0
47,4.00,0,0.00,2.55,2,295.29,0,0.00,0,0.00,2,260.18,0
