Time,TPS,StockLevel,StockLevelLatency,TPMC,Delivery,DeliveryLatency,OrderStatus,OrderStatusLatency,Payment,PaymentLatency,NewOrder,NewOrderLatency,Failed
1,12.00,0,0.00,360.00,6,482.44,0,0.00,0,0.00,6,431.21,0
2,18.00,0,0.00,420.00,4,478.97,0,0.00,0,0.00,14,391.84,0
3,14.00,0,0.00,120.00,8,544.33,0,0.00,0,0.00,6,448.50,0
4,12.00,0,0.00,90.00,6,464.30,0,0.00,0,0.00,6,330.70,0
5,16.00,0,0.00,144.00,4,456.42,0,0.00,0,0.00,12,298.48,0
6,9.00,0,0.00,60.00,3,347.76,0,0.00,0,0.00,6,319.08,0
7,9.00,0,0.00,42.86,4,335.41,0,0.00,0,0.00,5,371.22,0
8,9.00,0,0.00,37.50,4,467.84,0,0.00,0,0.00,5,286.43,0
9,6.00,0,0.00,6.67,5,407.80,0,0.00,0,0.00,1,270.44,0
10,7.00,0,0.00,24.00,3,313.02,0,0.00,0,0.00,4,305.18,0
11,8.00,0,0.00,27.27,3,374.33,0,0.00,0,0.00,5,369.92,0
12,6.00,0,0.00,15.00,3,418.12,0,0.00,0,0.00,3,261.93,0
13,7.00,0,0.00,13.85,4,519.35,0,0.00,0,0.00,3,362.19,0
14,7.00,0,0.00,21.43,2,353.67,0,0.00,0,0.00,5,649.79,0
15,6.00,0,0.00,16.00,2,419.21,0,0.00,0,0.00,4,293.41,0
16,9.00,0,0.00,18.75,4,441.02,0,0.00,0,0.00,5,296.71,0
17,7.00,0,0.00,7.06,5,348.98,0,0.00,0,0.00,2,187.42,0
18,9.00,0,0.00,13.33,5,458.29,0,0.00,0,0.00,4,178.02,0
19,8.00,0,0.00,18.95,2,295.29,0,0.00,0,0.00,6,282.86,0
20,7.00,0,0.00,15.00,2,375.46,0,0.00,0,0.00,5,335.28,0
21,8.00,0,0.00,17.14,2,399.92,0,0.00,0,0.00,6,334.22,0
22,7.00,0,0.00,10.91,3,373.63,0,0.00,0,0.00,4,399.62,0
23,5.00,0,0.00,7.83,2,379.58,0,0.00,0,0.00,3,344.69,0
24,4.00,0,0.00,7.50,1,314.49,0,0.00,0,0.00,3,269.91,0
25,5.00,0,0.00,7.20,2,321.69,0,0.00,0,0.00,3,221.61,0
26,3.00,0,0.00,4.62,1,267.81,0,0.00,0,0.00,2,185.75,0
27,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
28,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
29,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
30,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
31,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
32,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
33,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
34,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
35,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
36,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
37,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
38,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
39,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
40,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
41,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
42,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
43,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
44,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
45,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
46,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
47,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
48,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
49,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
50,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
51,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
52,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
53,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
54,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
55,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
56,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
57,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
58,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
59,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
60,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
61,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
62,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
63,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
64,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
