Time,TPS,StockLevel,StockLevelLatency,TPMC,Delivery,DeliveryLatency,OrderStatus,OrderStatusLatency,Payment,PaymentLatency,NewOrder,NewOrderLatency,Failed
16,3.00,0,0.00,0.00,3,15271.59,0,0.00,0,0.00,0,0.00,0
22,2.00,0,0.00,0.00,2,6362.36,0,0.00,0,0.00,0,0.00,0
36,2.00,0,0.00,3.33,0,0.00,0,0.00,0,0.00,2,35660.76,0
37,6.00,0,0.00,4.86,3,1217.66,0,0.00,0,0.00,3,21154.99,0
38,5.00,0,0.00,3.16,3,847.82,0,0.00,0,0.00,2,819.47,0
39,6.00,0,0.00,4.62,3,1885.11,0,0.00,0,0.00,3,1112.89,0
40,7.00,0,0.00,6.00,3,881.07,0,0.00,0,0.00,4,661.11,0
41,10.00,0,0.00,8.78,4,1100.52,0,0.00,0,0.00,6,838.60,0
42,5.00,0,0.00,2.86,3,825.93,0,0.00,0,0.00,2,310.96,0
43,6.00,0,0.00,5.58,2,902.44,0,0.00,0,0.00,4,618.65,0
44,7.00,0,0.00,6.82,2,444.02,0,0.00,0,0.00,5,575.52,0
49,1.00,0,0.00,1.22,0,0.00,0,0.00,0,0.00,1,5296.65,0
50,7.00,0,0.00,2.40,5,5545.87,0,0.00,0,0.00,2,175.90,0
51,8.00,0,0.00,4.71,4,490.90,0,0.00,0,0.00,4,626.30,0
52,9.00,0,0.00,8.08,2,575.73,0,0.00,0,0.00,7,515.71,0
53,6.00,0,0.00,2.26,4,497.13,0,0.00,0,0.00,2,234.02,0
54,2.00,0,0.00,2.22,0,0.00,0,0.00,0,0.00,2,360.49,0
60,3.00,0,0.00,1.00,2,6216.53,0,0.00,0,0.00,1,400.00,0
