Time,TPS,StockLevel,StockLevelLatency,TPMC,Delivery,DeliveryLatency,OrderStatus,OrderStatusLatency,Payment,PaymentLatency,NewOrder,NewOrderLatency,Failed
1,31.00,0,0.00,720.00,19,301.36,0,0.00,0,0.00,12,534.24,5
2,21.00,0,0.00,390.00,8,381.03,0,0.00,0,0.00,13,716.93,6
3,19.00,0,0.00,240.00,7,472.35,0,0.00,0,0.00,12,1024.75,6
4,18.00,0,0.00,75.00,13,578.39,0,0.00,0,0.00,5,818.94,3
5,13.00,0,0.00,108.00,4,585.74,0,0.00,0,0.00,9,1197.26,4
6,15.00,0,0.00,60.00,9,749.10,0,0.00,0,0.00,6,1711.33,2
7,11.00,0,0.00,34.29,7,821.03,0,0.00,0,0.00,4,1999.31,2
8,10.00,0,0.00,30.00,6,786.55,0,0.00,0,0.00,4,1633.22,1
9,12.00,0,0.00,60.00,3,803.98,0,0.00,0,0.00,9,2235.32,4
10,14.00,0,0.00,36.00,8,782.66,0,0.00,0,0.00,6,1575.99,4
11,42.00,0,0.00,76.36,28,682.52,0,0.00,0,0.00,14,406.67,7
12,37.00,0,0.00,95.00,18,272.71,0,0.00,0,0.00,19,595.28,8
13,30.00,0,0.00,69.23,15,268.23,0,0.00,0,0.00,15,579.20,8
14,34.00,0,0.00,85.71,14,273.98,0,0.00,0,0.00,20,594.13,7
15,38.00,0,0.00,68.00,21,261.85,0,0.00,0,0.00,17,631.78,8
16,31.00,0,0.00,60.00,15,245.49,0,0.00,0,0.00,16,589.72,6
17,32.00,0,0.00,63.53,14,254.74,0,0.00,0,0.00,18,748.76,6
18,36.00,0,0.00,53.33,20,261.93,0,0.00,0,0.00,16,632.80,3
19,30.00,0,0.00,53.68,13,235.12,0,0.00,0,0.00,17,633.71,9
20,40.00,0,0.00,48.00,24,252.60,0,0.00,0,0.00,16,542.76,9
21,33.00,0,0.00,42.86,18,257.70,0,0.00,0,0.00,15,628.43,8
22,30.00,0,0.00,43.64,14,243.93,0,0.00,0,0.00,16,715.01,7
23,33.00,0,0.00,41.74,17,252.39,0,0.00,0,0.00,16,573.56,4
24,32.00,0,0.00,42.50,15,270.90,0,0.00,0,0.00,17,565.51,4
25,25.00,0,0.00,28.80,13,232.52,0,0.00,0,0.00,12,566.42,7
26,2.00,0,0.00,0.00,2,1447.85,0,0.00,0,0.00,0,0.00,0
27,33.00,0,0.00,33.33,18,274.74,0,0.00,0,0.00,15,1928.56,8
28,31.00,0,0.00,34.29,15,301.61,0,0.00,0,0.00,16,659.27,9
29,38.00,0,0.00,47.59,15,289.21,0,0.00,0,0.00,23,510.81,8
30,40.00,0,0.00,46.00,17,252.28,0,0.00,0,0.00,23,516.91,17
31,35.00,0,0.00,27.10,21,272.49,0,0.00,0,0.00,14,513.05,6
32,7.00,0,0.00,3.75,5,1087.39,0,0.00,0,0.00,2,1290.32,0
33,20.00,0,0.00,20.00,9,500.04,0,0.00,0,0.00,11,1611.06,6
34,27.00,0,0.00,21.18,15,334.72,0,0.00,0,0.00,12,936.86,5
35,30.00,0,0.00,18.86,19,315.82,0,0.00,0,0.00,11,806.17,7
36,36.00,0,0.00,25.00,21,313.28,0,0.00,0,0.00,15,740.18,8
37,31.00,0,0.00,25.95,15,284.59,0,0.00,0,0.00,16,543.35,6
38,31.00,0,0.00,18.95,19,279.60,0,0.00,0,0.00,12,518.52,7
39,33.00,0,0.00,29.23,14,264.35,0,0.00,0,0.00,19,644.81,11
40,28.00,0,0.00,18.00,16,288.19,0,0.00,0,0.00,12,738.87,6
41,12.00,0,0.00,11.71,4,911.49,0,0.00,0,0.00,8,1100.04,1
42,11.00,0,0.00,4.29,8,1263.00,0,0.00,0,0.00,3,1475.87,2
43,31.00,0,0.00,22.33,15,828.38,0,0.00,0,0.00,16,1203.14,9
44,42.00,0,0.00,25.91,23,254.17,0,0.00,0,0.00,19,592.39,6
45,28.00,0,0.00,16.00,16,242.60,0,0.00,0,0.00,12,720.47,1
46,31.00,0,0.00,15.65,19,273.06,0,0.00,0,0.00,12,704.76,0
47,34.00,0,0.00,15.32,22,253.37,0,0.00,0,0.00,12,611.30,7
48,34.00,0,0.00,23.75,15,242.66,0,0.00,0,0.00,19,730.48,5
49,37.00,0,0.00,25.71,16,247.18,0,0.00,0,0.00,21,637.11,10
50,35.00,0,0.00,16.80,21,250.60,0,0.00,0,0.00,14,563.01,8
51,37.00,0,0.00,27.06,14,246.93,0,0.00,0,0.00,23,549.96,15
52,36.00,0,0.00,23.08,16,247.34,0,0.00,0,0.00,20,638.06,5
53,40.00,0,0.00,20.38,22,267.66,0,0.00,0,0.00,18,621.33,10
54,36.00,0,0.00,12.22,25,274.41,0,0.00,0,0.00,11,530.81,7
55,29.00,0,0.00,22.91,8,217.27,0,0.00,0,0.00,21,669.13,10
56,39.00,0,0.00,23.57,17,252.20,0,0.00,0,0.00,22,562.23,14
57,35.00,0,0.00,15.79,20,256.68,0,0.00,0,0.00,15,481.77,10
58,40.00,0,0.00,19.66,21,267.54,0,0.00,0,0.00,19,512.55,6
59,37.00,0,0.00,21.36,16,245.54,0,0.00,0,0.00,21,672.93,10
